alert_id,typology,rule_id,risk_score,priority,status,alert_date,customer_name,risk_rating,is_pep,nationality,amount,transaction_type,transaction_date,counterparty_country
ALT_5D07BB5BB0,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Carol Kim,medium,0,GB,4818.73,ach_transfer,2025-11-17 20:41:20,US
ALT_00409FD8EF,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Carol Kim,medium,0,GB,4766.28,ach_transfer,2025-11-17 20:00:20,US
ALT_54A62F1855,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Carol Kim,medium,0,GB,4812.57,ach_transfer,2025-11-17 20:18:20,US
ALT_3EAD8E38FD,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Carol Kim,medium,0,GB,4774.57,ach_transfer,2025-11-17 20:40:20,US
ALT_E480FA0324,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Carol Kim,medium,0,GB,4777.69,ach_transfer,2025-11-17 20:26:20,US
ALT_B3A1E5CFBE,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Carol Kim,medium,0,GB,4830.71,ach_transfer,2025-11-17 20:27:20,US
ALT_2163B8887D,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Joshua Ruiz,high,0,SY,3714.8,ach_transfer,2025-10-28 20:59:20,US
ALT_B827AF8FFF,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Joshua Ruiz,high,0,SY,3716.6,ach_transfer,2025-10-28 20:05:20,US
ALT_9EE7586609,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Joshua Ruiz,high,0,SY,3738.34,ach_transfer,2025-10-28 20:03:20,US
ALT_4872501735,smurfing,AML-002,100.0,critical,open,2026-06-02 19:04:20,Joshua Ruiz,high,0,SY,3722.64,ach_transfer,2025-10-28 20:07:20,US
ALT_C06E4AB631,layering,AML-003,100.0,critical,open,2026-06-02 19:04:20,Jessica Fox,sanctioned,0,CA,40267.85,wire_transfer,2025-08-18 23:04:20,US
ALT_4CC296AB83,layering,AML-003,100.0,critical,open,2026-06-02 19:04:20,Jesse Brown,high,0,VE,50993.58,wire_transfer,2025-12-21 11:04:20,RU
ALT_4D85EC821B,layering,AML-003,100.0,critical,open,2026-06-02 19:04:20,Amanda Ortiz,medium,0,SG,53242.02,internal_transfer,2025-12-25 01:04:20,US
ALT_31C0082CAB,layering,AML-003,100.0,critical,open,2026-06-02 19:04:20,Richard Glenn,medium,0,FR,60554.08,internal_transfer,2026-04-19 01:04:20,IR
ALT_D3346C548B,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Christopher Williams,pep,1,DE,5407.65,ach_transfer,2025-09-23 19:04:20,US
ALT_F2C9DCA831,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Julie Alexander,high,0,KP,5491.47,wire_transfer,2025-08-10 19:04:20,US
ALT_1E745A7D32,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Michele Collins,sanctioned,0,US,8558.44,wire_transfer,2026-01-06 19:04:20,US
ALT_8095C97D32,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Aaron Wise,high,0,MM,8769.57,ach_transfer,2025-12-26 19:04:20,US
ALT_2F927B12C8,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Matthew Foster,high,0,IR,8865.8,wire_transfer,2026-04-17 19:04:20,US
ALT_246865C883,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,David Lopez,high,0,KP,9002.48,ach_transfer,2025-06-10 19:04:20,US
ALT_0D3928BDB3,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Christopher Williams,pep,1,DE,10321.94,wire_transfer,2025-11-20 19:04:20,US
ALT_9A63F2B877,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Michael Stephens,high,0,VE,10832.01,wire_transfer,2025-06-04 19:04:20,US
ALT_9BC6B347D0,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Sergio Gomez,high,0,MM,11912.87,ach_transfer,2026-05-12 19:04:20,US
ALT_2ED97E7B2A,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Jesus Obrien,high,0,KP,12035.64,wire_transfer,2025-06-15 19:04:20,US
ALT_F354E38192,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Jesus Obrien,high,0,KP,12035.64,wire_transfer,2025-06-15 19:04:20,US
ALT_192473BA3D,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Joshua Ruiz,high,0,SY,13129.83,ach_transfer,2025-10-25 19:04:20,US
ALT_5A48BAF235,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Olivia Cole,high,0,VE,13279.44,ach_transfer,2026-03-06 19:04:20,GB
ALT_61C8DC0661,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,David Lopez,high,0,KP,13654.65,ach_transfer,2025-06-15 19:04:20,US
ALT_1E069ADE66,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Brian Johnson,pep,1,GB,13745.4,ach_transfer,2026-04-14 19:04:20,US
ALT_16EB8D36F6,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Aaron Wise,high,0,MM,13779.17,ach_transfer,2025-10-21 19:04:20,US
ALT_6C8C0BA04F,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Michael Stephens,high,0,VE,14035.15,ach_transfer,2025-10-04 19:04:20,US
ALT_3C3260EC31,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Christopher Smith,high,0,YE,14208.68,ach_transfer,2025-12-18 19:04:20,US
ALT_DD582CC362,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Christopher Williams,pep,1,DE,14289.47,ach_transfer,2025-08-05 19:04:20,US
ALT_BFC65C1334,round_tripping,AML-004,100.0,critical,open,2026-06-02 19:04:21,Benjamin Soto,high,0,SY,14421.61,wire_transfer,2025-12-30 19:04:20,US
ALT_4526CDB311,high_risk_jurisdiction,AML-006,100.0,critical,open,2026-06-02 19:04:21,Jesse Brown,high,0,VE,50993.58,wire_transfer,2025-12-21 11:04:20,RU
ALT_8D65C37F7A,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Sandra King,pep,1,JP,5159.56,cash_withdrawal,2025-10-31 19:04:20,US
ALT_85A3E384FD,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Heidi Owen,pep,1,GB,5379.85,cash_withdrawal,2026-04-09 19:04:20,US
ALT_92C34D522F,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Megan Richards,pep,1,FR,5695.81,cash_withdrawal,2025-06-09 19:04:20,US
ALT_C424CFB6E6,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Jennifer Banks,pep,1,DE,5736.88,cash_withdrawal,2025-10-15 19:04:20,US
ALT_5CDCF7DCDD,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,John Santana,pep,1,NL,5766.49,cash_withdrawal,2025-07-25 19:04:20,US
ALT_30B6422AB7,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Andrea Fox,pep,1,FR,5903.24,cash_withdrawal,2025-11-09 19:04:20,US
ALT_58CB4588F4,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Christopher Williams,pep,1,DE,6096.15,atm_withdrawal,2025-10-26 19:04:20,US
ALT_9EB322AC2E,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Brian Johnson,pep,1,GB,6162.42,cash_withdrawal,2026-01-02 19:04:20,US
ALT_AC48A897B3,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Joyce Solis,pep,1,CH,6172.75,cash_withdrawal,2026-03-12 19:04:20,US
ALT_EECE40D044,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Heidi Owen,pep,1,GB,6354.96,cash_withdrawal,2026-02-26 19:04:20,US
ALT_025581BAFB,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Jennifer Banks,pep,1,DE,6398.72,cash_deposit,2025-08-04 19:04:20,US
ALT_5C9541D990,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Megan Richards,pep,1,FR,6466.82,cash_deposit,2026-02-19 19:04:20,US
ALT_5409BD019C,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Richard Sanchez,pep,1,NL,6785.46,cash_deposit,2025-12-16 19:04:20,US
ALT_9163D199C1,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Joyce Solis,pep,1,CH,7052.66,cash_withdrawal,2025-09-29 19:04:20,US
ALT_C34D52E75D,pep_cash_transaction,AML-007,100.0,critical,open,2026-06-02 19:04:21,Andrea Fox,pep,1,FR,7094.54,cash_deposit,2025-08-07 19:04:20,US
