case_id,case_type,status,opened_date,assigned_analyst,total_suspicious_amount,full_name,risk_rating,alert_count
CASE_98A557EC,sar_investigation,open,2026-06-02,analyst_1,800.0,Brian Johnson,pep,8
CASE_DCF38BD2,sar_investigation,open,2026-06-02,analyst_1,800.0,Richard Sanchez,pep,8
CASE_4276C94D,sar_investigation,open,2026-06-02,analyst_1,700.0,John Santana,pep,7
CASE_0C961BD4,sar_investigation,open,2026-06-02,analyst_4,600.0,Christopher Williams,pep,6
CASE_2F7DB8B4,sar_investigation,open,2026-06-02,analyst_4,600.0,Carol Kim,medium,6
CASE_1CD37234,enhanced_due_diligence,open,2026-06-02,analyst_4,584.5,Joshua Ruiz,high,6
CASE_00D6788F,sar_investigation,open,2026-06-02,analyst_2,500.0,Megan Richards,pep,5
CASE_5129BBFA,sar_investigation,open,2026-06-02,analyst_1,425.0,Colleen Wright,low,5
CASE_39387896,sar_investigation,open,2026-06-02,analyst_4,400.0,Heidi Owen,pep,4
CASE_CCB91239,sar_investigation,open,2026-06-02,analyst_1,400.0,Sandra King,pep,4
CASE_EB349BA9,sar_investigation,open,2026-06-02,analyst_2,400.0,Joyce Solis,pep,4
CASE_4E3A7421,enhanced_due_diligence,open,2026-06-02,analyst_1,382.0,Donna Hendricks DDS,low,5
CASE_DFFECE09,enhanced_due_diligence,open,2026-06-02,analyst_2,375.0,Maria Parker,low,5
CASE_7D5A22C5,enhanced_due_diligence,open,2026-06-02,analyst_1,349.6,Benjamin Soto,high,4
CASE_A23E60AB,enhanced_due_diligence,open,2026-06-02,analyst_3,322.0,Mrs. Rachel Gibson,medium,4
CASE_C94AA607,enhanced_due_diligence,open,2026-06-02,analyst_1,320.0,Angela Griffin,low,4
CASE_3B909E36,sar_investigation,open,2026-06-02,analyst_2,300.0,Jennifer Banks,pep,3
CASE_443AF77F,enhanced_due_diligence,open,2026-06-02,analyst_3,292.0,Peter Garrett,low,4
CASE_761BAC7D,enhanced_due_diligence,open,2026-06-02,analyst_1,280.0,Nicole Brown,low,4
CASE_2613E708,enhanced_due_diligence,open,2026-06-02,analyst_3,271.5,Jesse Brown,high,3
CASE_59DC215D,enhanced_due_diligence,open,2026-06-02,analyst_1,270.0,Jason Beck,low,4
CASE_5B1B6CEF,enhanced_due_diligence,open,2026-06-02,analyst_2,269.0,Sergio Gomez,high,3
CASE_291F8061,enhanced_due_diligence,open,2026-06-02,analyst_3,260.0,Nicholas Martin,low,4
CASE_64C10E00,enhanced_due_diligence,open,2026-06-02,analyst_4,257.0,Elizabeth Jones,low,4
CASE_67E360AE,enhanced_due_diligence,open,2026-06-02,analyst_4,250.0,Michael Stewart,low,4
CASE_DFDB5977,enhanced_due_diligence,open,2026-06-02,analyst_3,249.5,Richard Glenn,medium,3
CASE_0C2B3397,enhanced_due_diligence,open,2026-06-02,analyst_4,247.25,Anita Richard,medium,3
CASE_F9906C9D,enhanced_due_diligence,open,2026-06-02,analyst_1,247.25,Robert Potter,medium,3
CASE_42974766,enhanced_due_diligence,open,2026-06-02,analyst_3,240.35,Timothy Wong,medium,3
CASE_9822EECB,enhanced_due_diligence,open,2026-06-02,analyst_1,239.0,Rickey Li,low,3
CASE_AB869038,enhanced_due_diligence,open,2026-06-02,analyst_1,235.0,Cody Larson,low,3
CASE_9BE0B699,enhanced_due_diligence,open,2026-06-02,analyst_1,232.0,Teresa Taylor,low,3
CASE_CD2A1200,enhanced_due_diligence,open,2026-06-02,analyst_2,225.0,Robert Montgomery,low,3
CASE_98DE4B63,enhanced_due_diligence,open,2026-06-02,analyst_2,215.0,Michael Henry,low,3
CASE_C56925FE,enhanced_due_diligence,open,2026-06-02,analyst_4,215.0,Amanda Jones,low,3
CASE_CC52EC9F,enhanced_due_diligence,open,2026-06-02,analyst_3,215.0,Christina Smith,low,3
CASE_6D8C9978,enhanced_due_diligence,open,2026-06-02,analyst_4,212.75,William Becker,medium,3
CASE_98103E63,enhanced_due_diligence,open,2026-06-02,analyst_2,205.0,Barbara Dudley,low,3
CASE_90C253A3,enhanced_due_diligence,open,2026-06-02,analyst_3,202.0,Eric Key,low,3
CASE_1B02D9F1,sar_investigation,open,2026-06-02,analyst_4,200.0,Michael Stephens,high,2
CASE_1C79664C,sar_investigation,open,2026-06-02,analyst_4,200.0,Jesus Obrien,high,2
CASE_26E5E784,sar_investigation,open,2026-06-02,analyst_3,200.0,Aaron Wise,high,2
CASE_C4833F4D,sar_investigation,open,2026-06-02,analyst_3,200.0,David Lopez,high,2
CASE_C87CCA1E,sar_investigation,open,2026-06-02,analyst_3,200.0,Andrea Fox,pep,2
CASE_AC716C27,sar_investigation,open,2026-06-02,analyst_1,195.5,Latoya Miller,medium,2
CASE_81EDA23C,sar_investigation,open,2026-06-02,analyst_4,188.0,Jessica Fox,sanctioned,2
CASE_C597ED5D,sar_investigation,open,2026-06-02,analyst_2,184.0,John Adams,medium,2
CASE_45F89D7A,enhanced_due_diligence,open,2026-06-02,analyst_1,182.0,Travis Miller,low,3
CASE_10048FFC,sar_investigation,open,2026-06-02,analyst_1,170.0,Steven Cooper,low,2
CASE_1BCCE985,sar_investigation,open,2026-06-02,analyst_2,170.0,Sherri Baker,low,2
CASE_3EE1387B,sar_investigation,open,2026-06-02,analyst_1,170.0,Matthew Smith,low,2
CASE_75C810FC,sar_investigation,open,2026-06-02,analyst_2,170.0,Randy Conley,low,2
CASE_8B0CE440,sar_investigation,open,2026-06-02,analyst_2,170.0,Andrew Avila,low,2
CASE_BBCA8BF2,sar_investigation,open,2026-06-02,analyst_2,170.0,Brittany Perry,low,2
CASE_BEB86072,sar_investigation,open,2026-06-02,analyst_4,170.0,Keith Jacobs,low,2
CASE_E4737D39,sar_investigation,open,2026-06-02,analyst_1,170.0,Ashley Gordon,low,2
CASE_087874A2,enhanced_due_diligence,open,2026-06-02,analyst_4,169.0,Courtney Smith,high,2
CASE_3523E6C1,enhanced_due_diligence,open,2026-06-02,analyst_2,165.0,Jeff Owens,low,3
CASE_714F6D33,enhanced_due_diligence,open,2026-06-02,analyst_3,163.25,Amanda Ortiz,medium,2
CASE_725A4667,enhanced_due_diligence,open,2026-06-02,analyst_1,162.0,Maurice Brooks,low,2
CASE_6ABB26B5,enhanced_due_diligence,open,2026-06-02,analyst_1,161.0,Sarah Curtis,medium,2
CASE_8940D8FB,enhanced_due_diligence,open,2026-06-02,analyst_1,160.0,Diane Evans,low,2
CASE_E3BA09D5,enhanced_due_diligence,open,2026-06-02,analyst_1,160.0,Jason Love,low,2
CASE_F95DB2C8,enhanced_due_diligence,open,2026-06-02,analyst_4,160.0,Thomas Peterson,low,2
CASE_A40D340C,enhanced_due_diligence,open,2026-06-02,analyst_3,156.0,Victor Morris,high,2
CASE_9E892DC9,enhanced_due_diligence,open,2026-06-02,analyst_2,154.0,Cameron Fisher,low,2
